latitude,longitude,count
15.65,76.73,301
15.67,76.73,302
15.71,76.9,302
15.72,76.62,302
15.73,76.75,301
15.73,76.76,1
15.73,76.78,302
15.74,76.78,302
15.78,76.94,296
15.79,76.95,6
15.8,76.57,302
15.86,76.75,302
15.9,76.59,302
15.91,76.93,302
15.93,76.77,302
15.93,76.92,302
15.96,76.88,296
15.97,76.88,6
15.97,77.48,302
15.99,76.71,302
16.01,76.39,302
16.01,76.42,302
16.03,76.54,604
16.03,76.98,302
16.03,77.31,302
16.05,76.74,302
16.05,77.14,296
16.05,77.15,6
16.06,76.51,302
16.07,76.81,296
16.07,77.23,302
16.08,76.81,6
16.09,76.75,301
16.09,76.76,302
16.12,76.71,302
16.13,76.57,302
16.13,77.46,302
16.14,77.48,302
16.16,77.1,302
16.18,77.18,302
16.19,76.55,6
16.2,76.55,296
16.2,76.66,302
16.21,76.64,302
16.21,77.24,301
16.22,76.97,6
16.22,77.03,302
16.22,77.24,1
16.23,76.8,5
16.23,76.97,296
16.24,76.81,297
16.29,76.92,302
16.32,77.36,302
16.34,76.78,302
16.37,76.73,1
16.37,76.85,302
16.38,76.73,300
16.4,77.17,302
16.47,77.02,302
